stop_id,stop_lat,stop_lon,stop_name
1216,42.319416,-71.098297,Columbus Ave @ Dimock St
1219,42.325015,-71.09808,Columbus Ave @ Centre St
122,42.321113,-71.05626699999999,Columbia Rd @ Buttonwood St
1221,42.328012,-71.096921,Columbus Ave @ Cedar St
1222,42.331191,-71.09446799999999,Columbus Ave @ Malcolm X Blvd
12231,42.363498,-71.087704,Ames St @ Broadway
1224,42.332705999999995,-71.092343,Tremont St opp Prentiss St
1226,42.334793,-71.088549,Tremont St @ Ruggles St
1227,42.335698,-71.086826,Tremont St @ Melnea Cass Blvd
1228,42.337226,-71.08402199999999,Tremont St @ Hammond St
123,42.320041,-71.059798,Columbia Rd opp Pond St
1230,42.338746,-71.081155999999993,Tremont St @ Northampton St
12301,42.388228999999995,-71.119545,Massachusetts Ave @ Upland Rd
1231,42.339583999999995,-71.079623,Tremont St @ W Springfield St
1232,42.340407,-71.07815599999999,Tremont St @ W Concord St
12323,42.417801999999995,-71.180683,Park Ave @ Oakland Ave
1233,42.341235999999995,-71.076653,Tremont St @ W Newton St
1234,42.341887,-71.075413,Tremont St @ W Brookline St
1235,42.342666,-71.073943,Tremont St @ W Dedham St
12352,42.405297999999995,-71.164065,Lake St @ Pleasant St
1236,42.343872999999995,-71.071653,Tremont St @ Waltham St
12360,42.415312,-71.180414,Park Ave @ Park Circle
1237,42.345144999999995,-71.069868,Tremont St @ E Berkeley St
12376,42.413056999999995,-71.120846,Winthrop St @ Orchard St
1238,42.347363,-71.068607,Tremont St @ Herald St
1239,42.34818,-71.067595,Tremont St @ Marginal St
124,42.320623,-71.061567,Massachusetts Ave @ Columbia Rd
1241,42.351748,-71.067101,Charles St S @ Park Plaza
1242,42.348777,-71.066481,Tremont St @ Charles St S
12439,42.373779999999996,-71.097963,Prospect St @ Cambridge St
12451,42.373622,-71.097843,Prospect St @ Cambridge St
